Refactoring Type,Source File,Model,Split,Pos Train,Neg Train,Accuracy,TN,TP,FN,FP,Model Params,Approach,Type Split,Type File,metric
Extract Method,count_PBS_all,RandomForest,0.5,53,37,0.643,53,76,24,47,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 5, 'n"", ""estimators': 50}""]",count,PBS,all,Accuracy
Extract Method,count_PBS_all,RandomForest,0.5,53,37,0.643,53,76,24,47,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 5, 'n"", ""estimators': 50}""]",count,PBS,all,TN
Extract Method,count_PBS_all,LogisticRegression,0.2,85,37,0.517,8,95,5,92,"[""{'C': 0.01, 'max"", ""iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}""]",count,PBS,all,TP
Extract Superclass,count_PBS_all,LogisticRegression,0.4,4,8,0.523,80,25,75,20,"[""{'C': 10, 'max"", ""iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}""]",count,PBS,all,Accuracy
Extract Superclass,count_PBS_all,LogisticRegression,0.4,4,8,0.523,80,25,75,20,"[""{'C': 10, 'max"", ""iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}""]",count,PBS,all,TN
Extract Superclass,count_PBS_all,RandomForest,0.4,4,8,0.511,77,25,75,23,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",count,PBS,all,TP
Inline Method,count_PBS_all,RandomForest,0.3,11,22,0.738,88,60,40,12,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 50}""]",count,PBS,all,Accuracy
Inline Method,count_PBS_all,RandomForest,0.3,11,22,0.738,88,60,40,12,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 50}""]",count,PBS,all,TN
Inline Method,count_PBS_all,SVM,0.5,8,16,0.699,77,62,38,23,"[""{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}""]",count,PBS,all,TP
Move Attribute,count_PBS_all,SVM,0.3,8,16,0.734,97,50,50,3,"[""{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}""]",count,PBS,all,Accuracy
Move Attribute,count_PBS_all,SVM,0.4,7,14,0.494,99,0,100,1,"[""{'C': 100, 'gamma': 'scale', 'kernel': 'poly'}""]",count,PBS,all,TN
Move Attribute,count_PBS_all,RandomForest,0.3,8,16,0.636,77,50,50,23,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 50}""]",count,PBS,all,TP
Move Class,count_PBS_all,RandomForest,0.2,21,42,0.745,82,67,33,18,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 5, 'n"", ""estimators': 200}""]",count,PBS,all,Accuracy
Move Class,count_PBS_all,SVM,0.2,21,42,0.622,91,33,67,9,"[""{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}""]",count,PBS,all,TN
Move Class,count_PBS_all,RandomForest,0.2,21,42,0.745,82,67,33,18,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 5, 'n"", ""estimators': 200}""]",count,PBS,all,TP
Move Method,count_PBS_all,RandomForest,0.3,7,14,0.786,91,67,33,9,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 300}""]",count,PBS,all,Accuracy
Move Method,count_PBS_all,SVM,0.5,5,10,0.488,98,0,100,2,"[""{'C': 0.1, 'gamma': 'scale', 'kernel': 'poly'}""]",count,PBS,all,TN
Move Method,count_PBS_all,SVM,0.4,6,12,0.647,54,75,25,46,"[""{'C': 0.1, 'gamma': 'auto', 'kernel': 'poly'}""]",count,PBS,all,TP
Pull Up Method,count_PBS_all,RandomForest,0.2,6,12,0.63,76,50,50,24,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 2, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 200}""]",count,PBS,all,Accuracy
Pull Up Method,count_PBS_all,RandomForest,0.4,4,8,0.5,100,0,100,0,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 50}""]",count,PBS,all,TN
Pull Up Method,count_PBS_all,RandomForest,0.2,6,12,0.63,76,50,50,24,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 2, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 200}""]",count,PBS,all,TP
Rename Package,count_PBS_all,LogisticRegression,0.2,5,10,0.967,93,100,0,7,"[""{'C': 0.01, 'max"", ""iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}""]",count,PBS,all,Accuracy
Rename Package,count_PBS_all,RandomForest,0.2,5,10,0.964,93,100,0,7,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 50}""]",count,PBS,all,TN
Rename Package,count_PBS_all,RandomForest,0.2,5,10,0.964,93,100,0,7,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 50}""]",count,PBS,all,TP
