Refactoring Type,Source File,Model,Split,Pos Train,Neg Train,Accuracy,TN,TP,FN,FP,Model Params,Approach,Type Split,Type File
Inline Method,count_PBS_single,RandomForest,0.2,11,22,0.5900537634408602,85,33,67,15,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 2, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 50}""]",count,PBS,single
Inline Method,count_PBS_single,SVM,0.2,11,22,0.6438172043010753,62,67,33,38,"[""{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}""]",count,PBS,single
Inline Method,count_PBS_single,LogisticRegression,0.2,11,22,0.7405913978494624,81,67,33,19,"[""{'C': 0.01, 'max"", ""iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}""]",count,PBS,single
Inline Method,count_PBS_single,RandomForest,0.3,9,18,0.72578125,85,60,40,15,"[""{'bootstrap': False, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 5, 'n"", ""estimators': 50}""]",count,PBS,single
Inline Method,count_PBS_single,SVM,0.3,9,18,0.590625,78,40,60,22,"[""{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}""]",count,PBS,single
Inline Method,count_PBS_single,LogisticRegression,0.3,9,18,0.6828125,77,60,40,23,"[""{'C': 0.1, 'max"", ""iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}""]",count,PBS,single
Inline Method,count_PBS_single,RandomForest,0.4,8,16,0.8551282051282052,88,83,17,12,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 200}""]",count,PBS,single
Inline Method,count_PBS_single,SVM,0.4,8,16,0.6423076923076922,78,50,50,22,"[""{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}""]",count,PBS,single
Inline Method,count_PBS_single,LogisticRegression,0.4,8,16,0.7525641025641026,84,67,33,16,"[""{'C': 0.01, 'max"", ""iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}""]",count,PBS,single
Inline Method,count_PBS_single,RandomForest,0.5,7,14,0.66504329004329,90,43,57,10,"[""{'bootstrap': False, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 5, 'n"", ""estimators': 50}""]",count,PBS,single
Inline Method,count_PBS_single,SVM,0.5,7,14,0.6796536796536796,79,57,43,21,"[""{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}""]",count,PBS,single
Inline Method,count_PBS_single,LogisticRegression,0.5,7,14,0.6006493506493507,77,43,57,23,"[""{'C': 0.1, 'max"", ""iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}""]",count,PBS,single
Extract Method,count_PBS_single,RandomForest,0.2,78,31,0.5274193548387096,35,70,30,65,"[""{'bootstrap': False, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 50}""]",count,PBS,single
Extract Method,count_PBS_single,SVM,0.2,78,31,0.5524193548387097,35,75,25,65,"[""{'C': 1, 'gamma': 'auto', 'kernel': 'poly'}""]",count,PBS,single
Extract Method,count_PBS_single,LogisticRegression,0.2,78,31,0.5540322580645161,26,85,15,74,"[""{'C': 0.1, 'max"", ""iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}""]",count,PBS,single
Extract Method,count_PBS_single,RandomForest,0.3,68,31,0.5768817204301075,39,77,23,61,"[""{'bootstrap': False, 'max"", ""depth': 10, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 50}""]",count,PBS,single
Extract Method,count_PBS_single,SVM,0.3,68,31,0.5924731182795698,45,73,27,55,"[""{'C': 0.1, 'gamma': 'auto', 'kernel': 'poly'}""]",count,PBS,single
Extract Method,count_PBS_single,LogisticRegression,0.3,68,31,0.5951612903225807,29,90,10,71,"[""{'C': 0.1, 'max"", ""iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}""]",count,PBS,single
Extract Method,count_PBS_single,RandomForest,0.4,58,31,0.5955645161290323,52,68,32,48,"[""{'bootstrap': False, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 50}""]",count,PBS,single
Extract Method,count_PBS_single,SVM,0.4,58,31,0.5794354838709678,48,68,32,52,"[""{'C': 0.1, 'gamma': 'auto', 'kernel': 'poly'}""]",count,PBS,single
Extract Method,count_PBS_single,LogisticRegression,0.4,58,31,0.6149193548387097,35,88,12,65,"[""{'C': 0.01, 'max"", ""iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}""]",count,PBS,single
Extract Method,count_PBS_single,RandomForest,0.5,49,31,0.631336405529954,55,71,29,45,"[""{'bootstrap': False, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 200}""]",count,PBS,single
Extract Method,count_PBS_single,SVM,0.5,49,31,0.6092824226464779,48,73,27,52,"[""{'C': 0.1, 'gamma': 'auto', 'kernel': 'poly'}""]",count,PBS,single
Extract Method,count_PBS_single,LogisticRegression,0.5,49,31,0.6119157340355497,39,84,16,61,"[""{'C': 0.01, 'max"", ""iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}""]",count,PBS,single
Move Class,count_PBS_single,RandomForest,0.2,14,28,0.8267543859649122,90,75,25,10,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 50}""]",count,PBS,single
Move Class,count_PBS_single,SVM,0.2,14,28,0.4342105263157895,87,0,100,13,"[""{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}""]",count,PBS,single
Move Class,count_PBS_single,LogisticRegression,0.2,14,28,0.6798245614035088,86,50,50,14,"[""{'C': 1, 'max"", ""iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}""]",count,PBS,single
Move Class,count_PBS_single,RandomForest,0.3,12,24,0.6694915254237288,84,50,50,16,"[""{'bootstrap': False, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 300}""]",count,PBS,single
Move Class,count_PBS_single,SVM,0.3,12,24,0.577683615819209,82,33,67,18,"[""{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}""]",count,PBS,single
Move Class,count_PBS_single,LogisticRegression,0.3,12,24,0.5240112994350282,88,17,83,12,"[""{'C': 0.01, 'max"", ""iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}""]",count,PBS,single
Move Class,count_PBS_single,RandomForest,0.4,10,20,0.6967213114754098,89,50,50,11,"[""{'bootstrap': False, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 2, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 200}""]",count,PBS,single
Move Class,count_PBS_single,SVM,0.4,10,20,0.6270491803278688,75,50,50,25,"[""{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}""]",count,PBS,single
Move Class,count_PBS_single,LogisticRegression,0.4,10,20,0.6055327868852459,84,38,62,16,"[""{'C': 0.1, 'max"", ""iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}""]",count,PBS,single
Move Class,count_PBS_single,RandomForest,0.5,9,18,0.578853046594982,94,22,78,6,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 50}""]",count,PBS,single
Move Class,count_PBS_single,SVM,0.5,9,18,0.6568100358422939,76,56,44,24,"[""{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}""]",count,PBS,single
Move Class,count_PBS_single,LogisticRegression,0.5,9,18,0.6415770609318996,84,44,56,16,"[""{'C': 0.1, 'max"", ""iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}""]",count,PBS,single
Move Attribute,count_PBS_single,RandomForest,0.2,5,10,0.701048951048951,90,50,50,10,"[""{'bootstrap': False, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 2, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 50}""]",count,PBS,single
Move Attribute,count_PBS_single,SVM,0.2,5,10,0.8181818181818181,64,100,0,36,"[""{'C': 100, 'gamma': 'scale', 'kernel': 'sigmoid'}""]",count,PBS,single
Move Attribute,count_PBS_single,LogisticRegression,0.2,5,10,0.6730769230769231,85,50,50,15,"[""{'C': 0.01, 'max"", ""iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}""]",count,PBS,single
Move Attribute,count_PBS_single,RandomForest,0.3,4,8,0.4873563218390804,64,33,67,36,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 50}""]",count,PBS,single
Move Attribute,count_PBS_single,SVM,0.3,4,8,0.5114942528735632,69,33,67,31,"[""{'C': 10, 'gamma': 'scale', 'kernel': 'sigmoid'}""]",count,PBS,single
Move Attribute,count_PBS_single,LogisticRegression,0.3,4,8,0.4770114942528736,62,33,67,38,"[""{'C': 0.01, 'max"", ""iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}""]",count,PBS,single
Move Attribute,count_PBS_single,RandomForest,0.4,4,8,0.4873563218390804,64,33,67,36,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 50}""]",count,PBS,single
Move Attribute,count_PBS_single,SVM,0.4,4,8,0.5114942528735632,69,33,67,31,"[""{'C': 10, 'gamma': 'scale', 'kernel': 'sigmoid'}""]",count,PBS,single
Move Attribute,count_PBS_single,LogisticRegression,0.4,4,8,0.4770114942528736,62,33,67,38,"[""{'C': 0.01, 'max"", ""iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}""]",count,PBS,single
Move Attribute,count_PBS_single,RandomForest,0.5,3,6,0.3435374149659864,69,0,100,31,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 50}""]",count,PBS,single
Move Attribute,count_PBS_single,SVM,0.5,3,6,0.22448979591836735,45,0,100,55,"[""{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}""]",count,PBS,single
Move Attribute,count_PBS_single,LogisticRegression,0.5,3,6,0.3460884353741497,44,25,75,56,"[""{'C': 100, 'max"", ""iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}""]",count,PBS,single
Inline Method,count_PBS_all,RandomForest,0.2,12,24,0.5334507042253521,82,25,75,18,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 5, 'n"", ""estimators': 100}""]",count,PBS,all
Inline Method,count_PBS_all,SVM,0.2,12,24,0.6549295774647887,81,50,50,19,"[""{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}""]",count,PBS,all
Inline Method,count_PBS_all,LogisticRegression,0.2,12,24,0.551056338028169,85,25,75,15,"[""{'C': 0.01, 'max"", ""iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}""]",count,PBS,all
Inline Method,count_PBS_all,RandomForest,0.3,11,22,0.7375,88,60,40,12,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 50}""]",count,PBS,all
Inline Method,count_PBS_all,SVM,0.3,11,22,0.5097222222222222,82,20,80,18,"[""{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}""]",count,PBS,all
Inline Method,count_PBS_all,LogisticRegression,0.3,11,22,0.6131944444444444,83,40,60,17,"[""{'C': 0.01, 'max"", ""iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}""]",count,PBS,all
Inline Method,count_PBS_all,RandomForest,0.4,9,18,0.6944980694980695,82,57,43,18,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 2, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 50}""]",count,PBS,all
Inline Method,count_PBS_all,SVM,0.4,9,18,0.6505791505791505,73,57,43,27,"[""{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}""]",count,PBS,all
Inline Method,count_PBS_all,LogisticRegression,0.4,9,18,0.6911196911196911,81,57,43,19,"[""{'C': 0.01, 'max"", ""iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}""]",count,PBS,all
Inline Method,count_PBS_all,RandomForest,0.5,8,16,0.65,80,50,50,20,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 5, 'n"", ""estimators': 50}""]",count,PBS,all
Inline Method,count_PBS_all,SVM,0.5,8,16,0.6991666666666667,77,62,38,23,"[""{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}""]",count,PBS,all
Inline Method,count_PBS_all,LogisticRegression,0.5,8,16,0.5183333333333333,79,25,75,21,"[""{'C': 0.1, 'max"", ""iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}""]",count,PBS,all
Extract Method,count_PBS_all,RandomForest,0.2,85,37,0.5669856459330144,32,82,18,68,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 100}""]",count,PBS,all
Extract Method,count_PBS_all,SVM,0.2,85,37,0.5729665071770335,24,91,9,76,"[""{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}""]",count,PBS,all
Extract Method,count_PBS_all,LogisticRegression,0.2,85,37,0.5167464114832536,8,95,5,92,"[""{'C': 0.01, 'max"", ""iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}""]",count,PBS,all
Extract Method,count_PBS_all,RandomForest,0.3,74,37,0.6064593301435407,39,82,18,61,"[""{'bootstrap': True, 'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 5, 'n"", ""estimators': 100}""]",count,PBS,all
Extract Method,count_PBS_all,SVM,0.3,74,37,0.6064593301435407,39,82,18,61,"[""{'C': 0.1, 'gamma': 'auto', 'kernel': 'poly'}""]",count,PBS,all
